Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,6.416666,6.433333,6.416666,6.433333,4.743207,17796000
2000-01-05,6.433333,6.433333,6.266666,6.383333,4.706344,29790000
2000-01-06,6.450000,6.450000,6.208333,6.233333,4.595751,18816000
2000-01-07,6.266666,6.366666,6.266666,6.366666,4.694055,6966000
2000-01-10,6.500000,6.666666,6.500000,6.666666,4.915240,3726000
2000-01-11,6.666666,6.750000,6.583333,6.666666,4.915240,2322000
2000-01-12,6.666666,6.666666,6.600000,6.600000,4.866090,2076000
2000-01-13,6.666666,6.700000,6.600000,6.700000,4.939818,3204000
2000-01-14,6.733333,6.833333,6.733333,6.766666,4.988970,5394000
2000-01-17,6.775000,6.866666,6.775000,6.833333,5.038123,2286000
2000-01-18,6.833333,6.833333,6.800000,6.800000,5.013546,2454000
2000-01-19,6.800000,6.916666,6.783333,6.900000,5.087276,7656000
2000-01-20,6.916666,7.000000,6.833333,6.916666,5.099563,1608000
2000-01-21,6.950000,7.000000,6.833333,6.883333,5.074987,1968000
2000-01-24,6.900000,7.083333,6.883333,6.883333,5.074987,3612000
2000-01-25,6.900000,7.033333,6.900000,6.916666,5.099563,5088000
2000-01-26,7.000000,7.108333,7.000000,7.083333,5.222443,2748000
2000-01-27,7.166666,7.200000,7.133333,7.133333,5.259309,2778000
2000-01-28,7.083333,7.150000,7.083333,7.150000,5.271598,3048000
2000-01-31,7.133333,7.533333,7.100000,7.533333,5.554223,7734000
2000-02-01,7.466666,7.633333,7.416666,7.433333,5.480494,6222000
2000-02-02,7.466666,7.491666,7.433333,7.491666,5.523502,2748000
2000-02-03,7.500000,7.500000,7.416666,7.500000,5.529647,5952000
2000-02-04,7.500000,7.508333,7.383333,7.383333,5.443630,5172000
2000-02-07,7.416666,7.466666,7.383333,7.466666,5.505071,4032000
2000-02-08,7.416666,7.416666,7.350000,7.350000,5.419054,2298000
2000-02-09,7.325000,7.325000,7.166666,7.166666,5.283885,2244000
2000-02-10,7.200000,7.250000,7.200000,7.250000,5.345325,4104000
2000-02-11,7.241666,7.266666,7.166666,7.166666,5.283885,2262000
2000-02-14,7.166666,7.200000,7.083333,7.166666,5.283885,8460000
2000-02-15,7.150000,7.150000,7.033333,7.050000,5.197867,2082000
2000-02-16,7.058333,7.100000,7.050000,7.100000,5.234733,1416000
2000-02-17,7.091666,7.150000,7.091666,7.150000,5.271598,1542000
2000-02-18,7.125000,7.141666,7.033333,7.066666,5.210156,4596000
2000-02-21,7.066666,7.100000,7.066666,7.100000,5.234733,1212000
2000-02-22,7.083333,7.083333,7.066666,7.066666,5.210156,906000
2000-02-23,7.083333,7.250000,7.033333,7.250000,5.345325,2088000
2000-02-24,7.250000,7.333333,7.250000,7.300000,5.382190,2304000
2000-02-25,7.333333,7.400000,7.250000,7.250000,5.345325,1500000
2000-02-28,7.250000,7.250000,7.216666,7.216666,5.320749,354000
2000-02-29,7.216666,7.216666,7.166666,7.216666,5.320749,1188000
2000-03-01,7.200000,7.333333,7.133333,7.333333,5.406766,2256000
2000-03-02,7.333333,7.500000,7.150000,7.500000,5.529647,2712000
2000-03-03,7.533333,7.583333,7.450000,7.450000,5.492783,2382000
2000-03-06,7.416666,7.500000,7.416666,7.416666,5.468206,1116000
2000-03-07,7.400000,7.583333,7.400000,7.550000,5.566512,1956000
2000-03-08,7.700000,7.700000,7.550000,7.700000,5.677105,1518000
2000-03-09,7.700000,7.700000,7.483333,7.491666,5.523502,2190000
2000-03-10,7.500000,7.616666,7.500000,7.616666,5.615663,3516000
2000-03-13,7.550000,7.666666,7.550000,7.666666,5.652528,2244000
2000-03-14,7.683333,7.708333,7.666666,7.700000,5.677105,1440000
2000-03-15,7.666666,7.866666,7.666666,7.866666,5.799985,2592000
2000-03-16,7.866666,7.866666,7.716666,7.800000,5.750833,1446000
2000-03-17,7.800000,7.800000,7.716666,7.733333,5.701680,762000
2000-03-20,7.733333,7.733333,7.500000,7.500000,5.529647,2472000
2000-03-21,7.500000,7.500000,7.500000,7.500000,5.529647,0
2000-03-22,7.583333,7.650000,7.516666,7.650000,5.640239,2442000
2000-03-23,7.633333,7.700000,7.633333,7.691666,5.670959,2082000
2000-03-24,7.691666,7.691666,7.550000,7.550000,5.566512,1530000
2000-03-27,7.583333,7.583333,7.550000,7.566666,5.578800,858000
2000-03-28,7.600000,7.616666,7.566666,7.616666,5.615663,2988000
2000-03-29,7.566666,7.616666,7.566666,7.616666,5.615663,1344000
2000-03-30,7.583333,7.583333,7.325000,7.325000,5.400621,2394000
2000-03-31,7.350000,7.500000,7.333333,7.500000,5.529647,3276000
2000-04-03,7.416666,7.450000,7.416666,7.450000,5.492783,1812000
2000-04-04,7.433333,7.433333,7.266666,7.316666,5.394478,1314000
2000-04-05,7.300000,7.366666,7.300000,7.366666,5.431341,1074000
2000-04-06,7.358333,7.358333,7.333333,7.350000,5.419054,1482000
2000-04-07,7.350000,7.350000,7.283333,7.300000,5.382190,1482000
2000-04-10,7.266666,7.266666,7.116666,7.166666,5.283885,1518000
2000-04-11,7.075000,7.075000,6.750000,6.750000,4.976683,2454000
2000-04-12,6.833333,6.833333,6.750000,6.750000,4.976683,1530000
2000-04-13,6.708333,6.708333,6.466666,6.566666,4.841513,1692000
2000-04-14,6.416666,6.425000,6.333333,6.425000,4.737064,1350000
2000-04-17,6.441666,6.583333,6.441666,6.583333,4.853801,720000
2000-04-18,6.616666,6.733333,6.600000,6.733333,4.964394,1290000
2000-04-19,6.741666,6.741666,6.583333,6.733333,4.964394,252000
2000-04-20,6.733333,6.733333,6.733333,6.733333,4.964394,0
2000-04-21,6.733333,6.733333,6.733333,6.733333,4.964394,0
2000-04-24,6.666666,6.666666,6.625000,6.666666,4.915240,1554000
