Date,Open,High,Low,Close,Adj Close,Volume
1989-01-03,3.776923,3.817246,3.776923,3.817246,0.917526,130199
1989-01-04,3.803805,3.803805,3.803805,3.803805,0.914296,10230
1989-01-05,3.803805,3.803805,3.790364,3.790364,0.911065,12090
1989-01-06,3.790364,3.790364,3.790364,3.790364,0.911065,9300
1989-01-09,3.790364,3.803805,3.790364,3.790364,0.911065,10230
1989-01-10,3.790364,3.790364,3.790364,3.790364,0.911065,9300
1989-01-11,3.790364,3.803805,3.790364,3.803805,0.914296,1252696
1989-01-12,3.803805,3.803805,3.803805,3.803805,0.914296,9300
1989-01-13,3.803805,3.803805,3.790364,3.790364,0.911065,6510
1989-01-16,3.790364,3.803805,3.790364,3.803805,0.914296,132989
1989-01-17,3.803805,3.803805,3.790364,3.803805,0.914296,14880
1989-01-18,3.803805,3.803805,3.790364,3.803805,0.914296,10230
1989-01-19,3.803805,3.803805,3.790364,3.803805,0.914296,106949
1989-01-20,3.803805,3.803805,3.790364,3.803805,0.914296,10230
1989-01-23,3.790364,3.790364,3.790364,3.790364,0.911065,102299
1989-01-24,3.790364,3.790364,3.776923,3.790364,0.911065,52079
1989-01-25,3.790364,3.790364,3.776923,3.776923,0.907834,33480
1989-01-26,3.776923,3.803805,3.776923,3.776923,0.907834,331076
1989-01-27,3.803805,3.803805,3.803805,3.803805,0.914296,32550
1989-01-30,3.803805,3.803805,3.803805,3.803805,0.914296,12090
1989-01-31,3.803805,3.803805,3.736600,3.736600,0.898141,607283
1989-02-01,3.709718,3.709718,3.669395,3.669395,0.881988,208318
1989-02-02,3.629072,3.629072,3.575308,3.575308,0.859373,592404
1989-02-03,3.588749,3.629072,3.588749,3.615631,0.869065,2167806
1989-02-06,3.615631,3.615631,3.615631,3.615631,0.869065,13950
1989-02-07,3.655954,3.736600,3.655954,3.736600,0.898141,50219
1989-02-08,3.736600,3.736600,3.709718,3.736600,0.898141,1025779
1989-02-09,3.736600,3.763482,3.736600,3.736600,0.898141,297597
1989-02-10,3.736600,3.763482,3.723159,3.763482,0.904603,265047
