Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,3.475000,3.475000,3.145000,3.175000,2.147726,4920000
2000-01-05,3.175000,3.365000,3.075000,3.275000,2.215371,2824000
2000-01-06,3.275000,3.325000,3.250000,3.325000,2.249193,2116000
2000-01-07,3.330000,3.440000,3.330000,3.365000,2.276251,4104000
2000-01-10,3.390000,3.475000,3.390000,3.420000,2.313456,2188000
2000-01-11,3.425000,3.425000,3.225000,3.225000,2.181549,5976000
2000-01-12,3.200000,3.250000,3.175000,3.175000,2.147726,2000000
2000-01-13,3.275000,3.275000,3.075000,3.100000,2.096992,3236000
2000-01-14,3.175000,3.200000,3.050000,3.125000,2.113904,8496000
2000-01-17,3.125000,3.180000,3.125000,3.175000,2.147726,1560000
2000-01-18,3.150000,3.150000,3.050000,3.050000,2.063170,3480000
2000-01-19,3.050000,3.050000,2.920000,2.950000,1.995525,4820000
2000-01-20,2.950000,3.000000,2.850000,3.000000,2.029347,5372000
2000-01-21,3.000000,3.000000,2.850000,2.875000,1.944792,3704000
2000-01-24,3.000000,3.025000,2.900000,2.900000,1.961704,3916000
2000-01-25,2.925000,2.960000,2.900000,2.920000,1.975232,2140000
2000-01-26,3.000000,3.000000,2.875000,2.875000,1.944792,1188000
2000-01-27,2.910000,2.950000,2.850000,2.850000,1.927880,2732000
2000-01-28,2.850000,2.865000,2.800000,2.865000,1.938027,3428000
2000-01-31,2.865000,2.925000,2.845000,2.875000,1.944792,1668000
2000-02-01,2.890000,3.055000,2.890000,3.050000,2.063170,3276000
2000-02-02,3.075000,3.075000,3.000000,3.025000,2.046259,1044000
2000-02-03,3.100000,3.210000,3.050000,3.075000,2.080081,5984000
2000-02-04,3.125000,3.175000,3.015000,3.015000,2.039495,3116000
2000-02-07,3.075000,3.125000,3.035000,3.080000,2.083463,2556000
2000-02-08,3.125000,3.200000,3.000000,3.005000,2.032730,2856000
2000-02-09,3.005000,3.005000,2.940000,2.950000,1.995525,2140000
2000-02-10,2.950000,3.050000,2.945000,3.005000,2.032730,7036000
2000-02-11,3.025000,3.030000,2.940000,2.950000,1.995525,3376000
2000-02-14,2.915000,2.990000,2.900000,2.990000,2.022584,928000
2000-02-15,2.975000,2.975000,2.800000,2.800000,1.894058,2536000
2000-02-16,2.830000,2.875000,2.790000,2.850000,1.927880,4296000
2000-02-17,2.900000,2.925000,2.850000,2.920000,1.975232,5112000
2000-02-18,2.900000,2.955000,2.875000,2.890000,1.954938,2224000
2000-02-21,2.875000,2.895000,2.870000,2.875000,1.944792,1524000
2000-02-22,2.850000,2.850000,2.750000,2.750000,1.860235,2964000
2000-02-23,2.785000,2.805000,2.750000,2.750000,1.860235,3800000
2000-02-24,2.750000,2.750000,2.520000,2.525000,1.708034,10076000
2000-02-25,2.525000,2.600000,2.525000,2.600000,1.758768,6712000
2000-02-28,2.600000,2.650000,2.530000,2.530000,1.711416,3112000
2000-02-29,2.550000,2.560000,2.525000,2.550000,1.724945,2032000
2000-03-01,2.550000,2.750000,2.550000,2.745000,1.856854,8956000
2000-03-02,2.745000,3.425000,2.745000,3.400000,2.299926,27296000
2000-03-03,3.500000,3.655000,3.400000,3.445000,2.330367,22276000
2000-03-06,3.425000,3.425000,3.220000,3.225000,2.181549,7740000
2000-03-07,3.225000,3.500000,3.105000,3.180000,2.151109,16344000
2000-03-08,3.290000,3.500000,3.290000,3.500000,2.367572,13736000
2000-03-09,3.500000,3.580000,3.440000,3.535000,2.391248,9996000
2000-03-10,3.550000,3.775000,3.550000,3.675000,2.485951,12324000
2000-03-13,null,null,null,null,null,null
2000-03-14,3.650000,3.650000,3.475000,3.550000,2.401395,9648000
2000-03-15,3.550000,3.625000,3.550000,3.625000,2.452128,3548000
2000-03-16,3.650000,3.675000,3.580000,3.675000,2.485951,4764000
2000-03-17,3.655000,3.850000,3.655000,3.825000,2.587418,5568000
2000-03-20,3.825000,3.975000,3.800000,3.975000,2.688885,3184000
2000-03-21,null,null,null,null,null,null
2000-03-22,3.925000,4.025000,3.925000,3.925000,2.655063,7596000
2000-03-23,3.925000,3.925000,3.775000,3.895000,2.634770,3788000
2000-03-24,3.885000,3.885000,3.775000,3.800000,2.570507,3736000
2000-03-27,3.800000,3.800000,3.675000,3.700000,2.502863,1108000
2000-03-28,3.725000,3.725000,3.550000,3.550000,2.401395,1628000
2000-03-29,3.525000,3.625000,3.500000,3.555000,2.404777,1732000
2000-03-30,3.575000,3.575000,3.420000,3.435000,2.323603,2916000
2000-03-31,3.475000,3.550000,3.400000,3.515000,2.377718,1952000
2000-04-03,3.500000,3.535000,3.425000,3.500000,2.367572,1200000
2000-04-04,3.495000,3.515000,3.125000,3.350000,2.266105,4136000
2000-04-05,3.325000,3.375000,3.300000,3.375000,2.283016,884000
2000-04-06,3.370000,3.500000,3.350000,3.500000,2.367572,2372000
2000-04-07,3.475000,3.630000,3.475000,3.620000,2.448745,3348000
