Year, Month,      Date,      CO2
1985,1,1985.0411,350.02
1985,2,1985.126,350.72
1985,3,1985.2027,351.18
1985,4,1985.2877,351.44
1985,5,1985.3699,352.6
1985,6,1985.4548,347.99
1985,7,1985.537,343.16
1985,8,1985.6219,337.93
1985,9,1985.7068,338.52
1985,10,1985.789,342.7
1985,11,1985.874,346.99
1985,12,1985.9562,350.12
1986,1,1986.0411,351
1986,2,1986.126,351.51
1986,3,1986.2027,352.68
1986,4,1986.2877,352.95
1986,5,1986.3699,353.54
1986,6,1986.4548,351.59
1986,7,1986.537,346.76
1986,8,1986.6219,340.42
1986,9,1986.7068,339.3
1986,10,1986.789,344.21
1986,11,1986.874,348.57
1986,12,1986.9562,349.39
1987,1,1987.0411,351.35
1987,2,1987.126,352.09
1987,3,1987.2027,353.89
1987,4,1987.2877,353.56
1987,5,1987.3699,354.52
1987,6,1987.4548,352.75
1987,7,1987.537,348.11
1987,8,1987.6219,340.99
1987,9,1987.7068,340.45
1987,10,1987.789,346.11
1987,11,1987.874,349.23
1987,12,1987.9562,352.55
1988,1,1988.041,354.07
1988,2,1988.1257,355.42
1988,3,1988.2049,356.17
1988,4,1988.2896,357.18
1988,5,1988.3716,356.88
1988,6,1988.4563,356.17
1988,7,1988.5383,348.33
1988,8,1988.623,344.04
1988,9,1988.7077,344.21
1988,10,1988.7896,349.59
1988,11,1988.8743,354.88
1988,12,1988.9563,357.47
1989,1,1989.0411,356.34
1989,2,1989.126,358.85
1989,3,1989.2027,360.08
1989,4,1989.2877,359.52
1989,5,1989.3699,359.51
1989,6,1989.4548,357.63
1989,7,1989.537,351.44
1989,8,1989.6219,345.67
1989,9,1989.7068,346.2
1989,10,1989.789,349.93
1989,11,1989.874,354.72
1989,12,1989.9562,358.31
1990,1,1990.0411,359.29
1990,2,1990.126,360.11
1990,3,1990.2027,360.76
1990,4,1990.2877,360.59
1990,5,1990.3699,360.24
1990,6,1990.4548,357.63
1990,7,1990.537,351.15
1990,8,1990.6219,346.15
1990,9,1990.7068,347.12
1990,10,1990.789,350.86
1990,11,1990.874,355.78
1990,12,1990.9562,358.44
1991,1,1991.0411,360.5
1991,2,1991.126,362.04
1991,3,1991.2027,360.93
1991,4,1991.2877,361.87
1991,5,1991.3699,361.44
1991,6,1991.4548,359.79
1991,7,1991.537,354
1991,8,1991.6219,347.48
1991,9,1991.7068,348.73
1991,10,1991.789,352.97
1991,11,1991.874,357.54
1991,12,1991.9562,359.95
1992,1,1992.041,362.11
1992,2,1992.1257,362.15
1992,3,1992.2049,363.73
1992,4,1992.2896,362.58
1992,5,1992.3716,363.11
1992,6,1992.4563,361.54
1992,7,1992.5383,353.78
1992,8,1992.623,346.89
1992,9,1992.7077,347.83
1992,10,1992.7896,352.23
1992,11,1992.8743,356.78
1992,12,1992.9563,361.03
1993,1,1993.0411,361.87
1993,2,1993.126,361.87
1993,3,1993.2027,362.73
1993,4,1993.2877,363.46
1993,5,1993.3699,363.05
1993,6,1993.4548,360.87
1993,7,1993.537,354.03
1993,8,1993.6219,347.99
1993,9,1993.7068,348.48
1993,10,1993.789,353.44
1993,11,1993.874,357.03
1993,12,1993.9562,360.35
1994,1,1994.0411,363.03
1994,2,1994.126,364.12
1994,3,1994.2027,364.84
1994,4,1994.2877,364.43
1994,5,1994.3699,364.28
1994,6,1994.4548,362.02
1994,7,1994.537,356.57
1994,8,1994.6219,350.78
1994,9,1994.7068,350.52
1994,10,1994.789,356.12
1994,11,1994.874,360.05
1994,12,1994.9562,363.28
1995,1,1995.0411,363.49
1995,2,1995.126,364.9
1995,3,1995.2027,366.7
1995,4,1995.2877,366.33
1995,5,1995.3699,365.74
1995,6,1995.4548,364.24
1995,7,1995.537,358.46
1995,8,1995.6219,351.98
1995,9,1995.7068,353.51
1995,10,1995.789,357.34
1995,11,1995.874,362.36
1995,12,1995.9562,365.68
1996,1,1996.041,366.95
1996,2,1996.1257,366.69
1996,3,1996.2049,367.63
1996,4,1996.2896,368.16
1996,5,1996.3716,369.13
1996,6,1996.4563,367.28
1996,7,1996.5383,361.39
1996,8,1996.623,356.09
1996,9,1996.7077,354.58
1996,10,1996.7896,360.18
1996,11,1996.8743,364.12
1996,12,1996.9563,365.56
1997,1,1997.0411,368.35
1997,2,1997.126,370.43
1997,3,1997.2027,368.18
1997,4,1997.2877,368.85
1997,5,1997.3699,369.5
1997,6,1997.4548,367.53
1997,7,1997.537,360.76
1997,8,1997.6219,355.13
1997,9,1997.7068,356.08
1997,10,1997.789,360.79
1997,11,1997.874,364.81
1997,12,1997.9562,367.86
1998,1,1998.0411,369.46
1998,2,1998.126,370.14
1998,3,1998.2027,370.91
1998,4,1998.2877,370.56
1998,5,1998.3699,371.58
1998,6,1998.4548,369.25
1998,7,1998.537,364.42
1998,8,1998.6219,357.43
1998,9,1998.7068,360.6
1998,10,1998.789,364.12
1998,11,1998.874,368.78
1998,12,1998.9562,371.64
1999,1,1999.0411,372.68
1999,2,1999.126,373.88
1999,3,1999.2027,373.82
1999,4,1999.2877,374.14
1999,5,1999.3699,374.54
1999,6,1999.4548,372
1999,7,1999.537,364.72
1999,8,1999.6219,359.08
1999,9,1999.7068,359.77
1999,10,1999.789,365.04
1999,11,1999.874,369.89
1999,12,1999.9562,372.7
2000,1,2000.041,373.28
2000,2,2000.1257,375.18
2000,3,2000.2049,374.88
2000,4,2000.2896,375.47
2000,5,2000.3716,376.22
2000,6,2000.4563,374
2000,7,2000.5383,366.47
2000,8,2000.623,360.78
2000,9,2000.7077,361.88
2000,10,2000.7896,367.64
2000,11,2000.8743,370.64
2000,12,2000.9563,373.45
2001,1,2001.0411,376.21
2001,2,2001.126,375.99
2001,3,2001.2027,376.49
2001,4,2001.2877,377.54
2001,5,2001.3699,377.72
2001,6,2001.4548,374.79
2001,7,2001.537,367.33
2001,8,2001.6219,361.67
2001,9,2001.7068,363.52
2001,10,2001.789,367.85
2001,11,2001.874,373.26
2001,12,2001.9562,374.5
2002,1,2002.0411,376.71
2002,2,2002.126,377.48
2002,3,2002.2027,378.33
2002,4,2002.2877,378.8
2002,5,2002.3699,379.07
2002,6,2002.4548,375.95
2002,7,2002.537,370.71
2002,8,2002.6219,364.07
2002,9,2002.7068,365.47
2002,10,2002.789,370.38
2002,11,2002.874,374.16
2002,12,2002.9562,378.1
2003,1,2003.0411,379.1
2003,2,2003.126,379.44
2003,3,2003.2027,380.97
2003,4,2003.2877,381.45
2003,5,2003.3699,382.45
2003,6,2003.4548,381.05
2003,7,2003.537,373.76
2003,8,2003.6219,368
2003,9,2003.7068,368.67
2003,10,2003.789,372.43
2003,11,2003.874,377.82
2003,12,2003.9562,380.1
2004,1,2004.041,382.54
2004,2,2004.1257,382.42
2004,3,2004.2049,381.67
2004,4,2004.2896,383.28
2004,5,2004.3716,383.63
2004,6,2004.4563,382.62
2004,7,2004.5383,374.6
2004,8,2004.623,368.7
2004,9,2004.7077,368.69
2004,10,2004.7896,373.53
2004,11,2004.8743,378.62
2004,12,2004.9563,381.78
2005,1,2005.0411,384.95
2005,2,2005.126,384.39
2005,3,2005.2027,384.22
2005,4,2005.2877,385.38
2005,5,2005.3699,385.39
2005,6,2005.4548,383.81
2005,7,2005.537,377.03
2005,8,2005.6219,370.63
2005,9,2005.7068,372.21
2005,10,2005.789,375.35
2005,11,2005.874,381.81
2005,12,2005.9562,385.15
2006,1,2006.0411,385.05
2006,2,2006.126,385.61
2006,3,2006.2027,386.89
2006,4,2006.2877,387.8
2006,5,2006.3699,388.7
2006,6,2006.4548,387.57
2006,7,2006.537,380.85
2006,8,2006.6219,373.93
2006,9,2006.7068,374.93
2006,10,2006.789,379
2006,11,2006.874,384.31
2006,12,2006.9562,387.23
2007,1,2007.0411,388.37
2007,2,2007.126,388.91
2007,3,2007.2027,389.78
2007,4,2007.2877,389.85
2007,5,2007.3699,389.59
2007,6,2007.4548,387.9
2007,7,2007.537,380.8
2007,8,2007.6219,373.01
2007,9,2007.7068,375.47
2007,10,2007.789,380.79
2007,11,2007.874,384.38
2007,12,2007.9562,388.39
2008,1,2008.041,390.21
2008,2,2008.1257,390.97
2008,3,2008.2049,392.63
2008,4,2008.2896,392.37
2008,5,2008.3716,392.73
2008,6,2008.4563,389.49
2008,7,2008.5383,383
2008,8,2008.623,376.44
2008,9,2008.7077,377.58
2008,10,2008.7896,381.66
2008,11,2008.8743,388.29
2008,12,2008.9563,390.02
2009,1,2009.0411,393.3
2009,2,2009.126,392.5
2009,3,2009.2027,393.58
2009,4,2009.2877,394.02
2009,5,2009.3699,394.13
2009,6,2009.4548,391.54
2009,7,2009.537,384.9
2009,8,2009.6219,377.9
2009,9,2009.7068,377.87
2009,10,2009.789,383.11
2009,11,2009.874,387.4
2009,12,2009.9562,391.82
2010,1,2010.0411,392.52
2010,2,2010.126,393.65
2010,3,2010.2027,393.81
2010,4,2010.2877,395.2
2010,5,2010.3699,395.76
2010,6,2010.4548,394.61
2010,7,2010.537,386.39
2010,8,2010.6219,380.81
2010,9,2010.7068,382.32
2010,10,2010.789,387.14
2010,11,2010.874,391.52
2010,12,2010.9562,394.13
2011,1,2011.0411,395.38
2011,2,2011.126,396.3
2011,3,2011.2027,397.61
2011,4,2011.2877,398.25
2011,5,2011.3699,398.56
2011,6,2011.4548,395.2
2011,7,2011.537,388.91
2011,8,2011.6219,380.71
2011,9,2011.7068,381.94
2011,10,2011.789,388.09
2011,11,2011.874,393.76
2011,12,2011.9562,396.69
2012,1,2012.041,399.09
2012,2,2012.1257,398.78
2012,3,2012.2049,399.38
2012,4,2012.2896,400.1
2012,5,2012.3716,400.35
2012,6,2012.4563,397.34
2012,7,2012.5383,389.62
2012,8,2012.623,382.58
2012,9,2012.7077,386
2012,10,2012.7896,390.42
2012,11,2012.8743,395.99
2012,12,2012.9563,399.33
2013,1,2013.0411,400.92
2013,2,2013.126,401.42
2013,3,2013.2027,401.5
2013,4,2013.2877,401.96
2013,5,2013.3699,403.14
2013,6,2013.4548,400.73
2013,7,2013.537,394.81
2013,8,2013.6219,387.8
2013,9,2013.7068,387.88
2013,10,2013.789,394.17
2013,11,2013.874,399.69
2013,12,2013.9562,401.54
2014,1,2014.0411,403.67
2014,2,2014.126,404.43
2014,3,2014.2027,406.71
2014,4,2014.2877,404.88
2014,5,2014.3699,405.53
2014,6,2014.4548,403.43
2014,7,2014.537,396.18
2014,8,2014.6219,389.7
2014,9,2014.7068,390.48
2014,10,2014.789,395.61
2014,11,2014.874,399.27
2014,12,2014.9562,403.93
2015,1,2015.0411,403.98
2015,2,2015.126,408.03
2015,3,2015.2027,407.97
2015,4,2015.2877,406.89
2015,5,2015.3699,407.44
2015,6,2015.4548,404.65
2015,7,2015.537,397.65
2015,8,2015.6219,391.13
2015,9,2015.7068,392.41
2015,10,2015.789,397.23
2015,11,2015.874,403.91
2015,12,2015.9562,406.28
2016,1,2016.041,406.72
2016,2,2016.1257,408.97
2016,3,2016.2049,409.07
2016,4,2016.2896,409.6
2016,5,2016.3716,409.3
2016,6,2016.4563,406.67
2016,7,2016.5383,399.43
2016,8,2016.623,393.56
2016,9,2016.7077,394.46
2016,10,2016.7896,400.7
2016,11,2016.8743,405.81
2016,12,2016.9563,409.45
2017,1,2017.0411,412.46
2017,2,2017.126,412.39
2017,3,2017.2027,413.66
2017,4,2017.2877,413.53
2017,5,2017.3699,413.79
2017,6,2017.4548,410.66
2017,7,2017.537,403.59
2017,8,2017.6219,396.86
2017,9,2017.7068,397.74
2017,10,2017.789,402.59
2017,11,2017.874,407.81
2017,12,2017.9562,410.28
2018,1,2018.0411,413.5
2018,2,2018.126,413.32
2018,3,2018.2027,413.98
2018,4,2018.2877,415.78
2018,5,2018.3699,415.25
2018,6,2018.4548,413.5
2018,7,2018.537,406.34
2018,8,2018.6219,398.6
2018,9,2018.7068,400.18
2018,10,2018.789,404.17
2018,11,2018.874,409.88
2018,12,2018.9562,413.53
2019,1,2019.0411,414.61
2019,2,2019.126,415.89
2019,3,2019.2027,417.49
2019,4,2019.2877,418.36
2019,5,2019.3699,417.51
2019,6,2019.4548,414.37
2019,7,2019.537,407.78
2019,8,2019.6219,400.85
2019,9,2019.7068,402.25
2019,10,2019.789,407.5
2019,11,2019.874,412.74
2019,12,2019.9562,416.13
2020,1,2020.041,418.33
2020,2,2020.1257,420.57
2020,3,2020.2049,419.43
2020,4,2020.2896,420.43
2020,5,2020.3716,420.15
2020,6,2020.4563,416.78
2020,7,2020.5383,408.82
2020,8,2020.623,403.42
2020,9,2020.7077,406.85
2020,10,2020.7896,410.72
2020,11,2020.8743,416.44
2020,12,2020.9563,418.14
2021,1,2021.0411,418.72
2021,2,2021.126,423.95
2021,3,2021.2027,422.08
2021,4,2021.2877,422.08
2021,5,2021.3699,423.16
2021,6,2021.4548,420.03
2021,7,2021.537,411.46
2021,8,2021.6219,404.64
2021,9,2021.7068,407.82
2021,10,2021.789,412.68
2021,11,2021.874,417.29
2021,12,2021.9562,420.48
